"프로젝트 이름","somsscreative"
"날짜 범위","05/15/2026 오전 12:00 - 05/19/2026 오후 11:59"


"방문한 URL regex와 일치","^https://www\.somsscreative\.com/intern-landing(\?.*)?$"

"페이지 보기","161"


"메트릭","Scroll"

"스크롤 깊이","방문자 수","% 할인"
"5","158","1.86"
"10","92","42.86"
"15","84","47.83"
"20","84","47.83"
"25","84","47.83"
"30","83","48.45"
"35","83","48.45"
"40","83","48.45"
"45","82","49.07"
"50","81","49.69"
"55","80","50.31"
"60","80","50.31"
"65","80","50.31"
"70","80","50.31"
"75","80","50.31"
"80","79","50.93"
"85","71","55.90"
"90","43","73.29"
"95","31","80.75"
"100","23","85.71"
